,Windt Energy [keV],S1 Windt EA [cm^2],S2 Windt EA [cm^2],S3 Windt EA [cm^2],S4 Windt EA [cm^2],S5 Windt EA [cm^2],S6 Windt EA [cm^2],S7 Windt EA [cm^2],S8 Windt EA [cm^2],S9 Windt EA [cm^2],S10 Windt EA [cm^2]
16250,16.2513,0.05572651265168585,0.079520043848648,0.11760596072656603,0.18406821242933694,0.31530594077525875,0.4265407200587807,0.6873495221333379,0.7574891181296327,0.7892691301222955,0.8247444048441637
16251,16.252299999999998,0.055698406730847055,0.07947882931604848,0.11754284162104522,0.18396245125164531,0.3151072496280249,0.4262800972261629,0.6871427175433872,0.7573438921327265,0.7891635569907757,0.8246759663735705
16252,16.2533,0.055669798918564696,0.07943761478344895,0.11747972251552441,0.18385632538023752,0.31490888367088476,0.4260194743935451,0.6869332616125395,0.7571986661358202,0.7890557844190159,0.8246056268343498
16253,16.2543,0.0556416929977259,0.07939685315780108,0.11741660341000362,0.18375056420254593,0.31471051771374453,0.42575885156092735,0.6867264570225886,0.7570534401389141,0.7889502112874961,0.8245371883637566
16254,16.2553,0.0556135870768871,0.07935563862520155,0.11735348430448282,0.1836448030248543,0.31451247694669804,0.42549822872830956,0.686517001091741,0.7569082141420078,0.7888424387157363,0.8244668488245358
16255,16.2563,0.05558497926460475,0.07931487699955367,0.11729036519896203,0.18353904184716271,0.3143144361796515,0.42523760589569176,0.68631019650179,0.7567629881451016,0.7887368655842165,0.8243984103539425
16256,16.2573,0.05555687334376595,0.07927366246695414,0.11722765331347684,0.1834332806694711,0.314116395412605,0.42497698306307397,0.6861007405709424,0.7566177621481954,0.7886312924526968,0.8243299718833493
16257,16.2583,0.05552876742292715,0.07923290084130626,0.11716453420795604,0.18332788418549567,0.3139183546455585,0.4247163602304562,0.6858912846400947,0.7564701157180075,0.7885235198809372,0.8242596323441286
16258,16.2593,0.055500159610644806,0.07919168630870672,0.11710182232247088,0.18322248770152025,0.31372096425869933,0.42445873306258125,0.6856844800501439,0.7563248897211012,0.7884179467494172,0.8241911938735353
16259,16.2603,0.055472053689806004,0.07915092468305884,0.11703911043698569,0.1831170912175448,0.3135232486817465,0.42419811022996345,0.6854750241192963,0.756179663724195,0.7883123736178975,0.8241208543343146
16260,16.2613,0.0554439477689672,0.07911016305741096,0.11697639855150051,0.18301169473356937,0.313326183484981,0.42393748739734566,0.6852655681884486,0.7560344377272888,0.7882046010461378,0.8240524158637214
16261,16.2623,0.05541584184812841,0.07906940143176308,0.11691368666601533,0.18290629824959395,0.31312879309812186,0.42367986022947063,0.6850587635984977,0.7558892117303826,0.788099027914618,0.8239820763245006
16262,16.2633,0.05538773592728961,0.07902818689916355,0.11685097478053014,0.1828012664593347,0.3129317279013563,0.42341923739685283,0.6848493076676501,0.7557415653001947,0.7879912553428582,0.8239136378539074
16263,16.2643,0.05535963000645081,0.07898742527351567,0.11678826289504496,0.18269623466907547,0.3127349878946845,0.42315861456423504,0.6846398517368024,0.7555963393032885,0.7878856822113385,0.8238432983146866
16264,16.2653,0.05533152408561201,0.0789466636478678,0.11672555100955978,0.1825912028788162,0.3125382478880127,0.42290098739636,0.6844303958059548,0.7554511133063823,0.7877779096395786,0.8237748598440934
16265,16.266299999999998,0.05530341816477321,0.0789059020222199,0.11666324634411021,0.18248617108855694,0.3123415078813409,0.422643360228485,0.6842209398751071,0.755305887309476,0.7876723365080589,0.8237045203048725
16266,16.2673,0.05527531224393441,0.07886514039657203,0.11660053445862505,0.18238150399201386,0.31214509306476274,0.4223827373958673,0.6840114839442595,0.7551582408792881,0.787564563936299,0.8236360818342794
16267,16.2683,0.05524720632309561,0.07882437877092413,0.11653782257313987,0.18227647220175464,0.31194867824818456,0.4221251102279922,0.6838020280134118,0.7550130148823819,0.7874589908047793,0.8235657422950585
16268,16.269299999999998,0.05521910040225681,0.0787840700522279,0.11647551790769028,0.18217180510521155,0.31175226343160645,0.42186448739537447,0.683592572082564,0.7548653684521939,0.7873512182330197,0.8234973038244654
16269,16.2703,0.05519099448141802,0.07874330842658002,0.11641321324224073,0.18206713800866847,0.31155617380512196,0.4216068602274994,0.6833831161517163,0.7547201424552876,0.7872456451014999,0.8234269642852445
16270,16.2713,0.055162888560579215,0.07870254680093212,0.11635090857679117,0.1819624709121254,0.31136040936873116,0.42134923305962435,0.6831736602208687,0.7545749164583814,0.78714007196998,0.8233585258146514
16271,16.272299999999998,0.055134782639740414,0.0786622380822359,0.1162886039113416,0.1818581685092985,0.3111646449323403,0.42108861022700655,0.682964204290021,0.7544272700281935,0.7870322993982203,0.8232881862754307
16272,16.2733,0.05510667671890161,0.07862147645658801,0.11622629924589205,0.1817538661064716,0.3109688804959495,0.4208309830591315,0.6827547483591734,0.7542820440312873,0.7869267262667006,0.8232197478048374
16273,16.2743,0.05507907268950636,0.07858071483094013,0.11616399458044248,0.18164919900992854,0.3107734412496524,0.4205733558912565,0.6825452924283257,0.7541343976010993,0.7868189536949407,0.8231494082656167
16274,16.275299999999998,0.05505096676866757,0.07854040611224389,0.11610168991499291,0.18154526130081783,0.3105780020033553,0.4203157287233814,0.6823358364974781,0.7539891716041931,0.786711181123181,0.8230809697950233
16275,16.2763,0.055022860847828765,0.078499644486596,0.11603938524954335,0.18144095889799094,0.31038288794715185,0.4200581015555065,0.6821263805666304,0.753843945607287,0.7866056079916611,0.8230106302558027
16276,16.2773,0.05499475492698997,0.07845933576789976,0.1159774878041294,0.18133665649516406,0.3101874487008547,0.4198004743876314,0.6819169246357828,0.753696299177099,0.7864978354199015,0.8229421917852094
16277,16.278299999999998,0.05496715089759472,0.07841902704920352,0.11591518313867985,0.18123271878605332,0.3099926598347449,0.4195428472197564,0.6817048173640382,0.7535510731801928,0.7863922622883818,0.8228718522459886
16278,16.2793,0.05493904497675592,0.07837826542355565,0.1158532856932659,0.1811287810769426,0.3097978709686351,0.41928522005188135,0.6814953614331906,0.7534034267500047,0.7862844897166219,0.8228034137753955
16279,16.2803,0.05491144094736067,0.07833795670485941,0.11579138824785196,0.1810248433678319,0.3096030821025253,0.41902759288400626,0.6812859055023429,0.7532557803198168,0.7861789165851022,0.8227330742361746
16280,16.281299999999998,0.05488333502652187,0.07829764798616316,0.1157290835824024,0.18092090565872118,0.3094086184265092,0.41876996571613123,0.6810737982305985,0.7531105543229106,0.7860711440133423,0.8226646357655815
16281,16.2823,0.05485573099712662,0.07825733926746692,0.11566718613698845,0.18081733264332664,0.3092141547504931,0.4185123385482562,0.6808643422997507,0.7529629078927226,0.7859633714415827,0.8225942962263606
16282,16.2833,0.05482762507628782,0.07821703054877069,0.11560528869157452,0.18071339493421593,0.30902001626457065,0.4182547113803812,0.680654886368903,0.7528176818958164,0.7858577983100627,0.8225258577557675
16283,16.284299999999998,0.05480002104689257,0.07817672183007446,0.11554379846619618,0.18061018661253755,0.30882587777864823,0.4179970842125061,0.6804427790971587,0.7526700354656284,0.7857500257383031,0.8224555182165467
16284,16.2853,0.054771915126053776,0.0781364131113782,0.11548190102078223,0.180506613597143,0.30863206448281943,0.41774245270937377,0.680233323166311,0.7525248094687222,0.7856444526067833,0.8223870797459534
16285,16.2863,0.054744311096658525,0.07809610439268197,0.1154200035753683,0.18040304058174847,0.3084382511869907,0.41748482554149874,0.6800238672354634,0.7523771630385343,0.7855366800350235,0.8223167402067327
16286,16.2873,0.054716707067263275,0.07805579567398573,0.11535810612995435,0.18029946756635393,0.3082441127010682,0.41722719837362376,0.6798117599637188,0.7522295166083462,0.7854289074632637,0.8222483017361394
16287,16.2883,0.05468860114642447,0.0780154869552895,0.11529661590457602,0.18019625924467556,0.30805062459533317,0.41696957120574873,0.6795996526919744,0.7520842906114401,0.785323334331744,0.8221779621969186
16288,16.2893,0.05466099711702922,0.0779756311435449,0.11523512567919769,0.1800930509229972,0.30785713648959806,0.4167149397026164,0.6793901967611268,0.7519366441812521,0.7852155617599842,0.8221095237263255
16289,16.2903,0.05463339308763397,0.07793532242484864,0.11517322823378374,0.17998984260131887,0.3076639735739566,0.4164573125347414,0.6791780894893823,0.7517889977510642,0.7851099886284645,0.8220391841871046
16290,16.2913,0.05460578905823873,0.07789501370615241,0.11511173800840542,0.1798866342796405,0.30747081065831516,0.41620268103160907,0.6789686335585347,0.7516413513208762,0.7850022160567047,0.8219707457165115
16291,16.2923,0.05457768313739993,0.07785515789440782,0.1150502477830271,0.17978379065167832,0.30727764774267374,0.41594505386373404,0.6787565262867901,0.7514961253239699,0.7848944434849449,0.8219004061772907
16292,16.2933,0.05455007910800468,0.07781484917571158,0.11498875755764876,0.17968094702371612,0.307084810017126,0.4156904223606017,0.6785444190150457,0.751348478893782,0.7847888703534251,0.8218319677066975
16293,16.2943,0.05452247507860943,0.07777499336396698,0.11492726733227045,0.17957773870203775,0.30689229748167196,0.4154327951927267,0.678334963084198,0.751200832463594,0.7846810977816654,0.8217616281674767
16294,16.2953,0.05449487104921418,0.07773468464527075,0.11486577710689212,0.17947489507407557,0.30669945975612417,0.41517816368959437,0.6781228558124535,0.751053186033406,0.7845733252099056,0.8216931896968834
16295,16.2963,0.05446726701981893,0.07769482883352613,0.1148046941015494,0.1793724161398296,0.30650694722067007,0.41492353218646205,0.6779107485407091,0.750905539603218,0.7844655526381458,0.8216228501576627
16296,16.2973,0.05443966299042368,0.0776545201148299,0.11474320387617108,0.1792695725118674,0.3063147598753097,0.414665905018587,0.6776986412689646,0.7507603136063119,0.7843599795066261,0.8215544116870694
16297,16.298299999999998,0.05441205896102843,0.0776146643030853,0.11468171365079274,0.1791670935776214,0.3061225725299493,0.4144112735154547,0.67748653399722,0.7506126671761238,0.7842522069348663,0.8214840721478487
16298,16.2993,0.054384454931633186,0.07757480849134071,0.11462063064545006,0.17906461464337536,0.30593038518458887,0.41415664201232244,0.6772770780663724,0.7504650207459359,0.7841444343631065,0.8214156336772555
16299,16.3003,0.054356850902237935,0.07753495267959612,0.11455954764010734,0.1789621357091294,0.30573852302932214,0.4139020105091902,0.677064970794628,0.750317374315748,0.7840366617913467,0.8213452941380347
16300,16.301299999999998,0.054329246872842685,0.07749509686785151,0.11449805741472902,0.17885965677488336,0.3055466608740554,0.41364737900605786,0.6768528635228834,0.7501697278855599,0.783931088659827,0.8212749545988138
16301,16.3023,0.054301642843447434,0.07745524105610692,0.1144369744093863,0.17875754253435355,0.305355449098976,0.41339274750292554,0.6766407562511391,0.750022081455372,0.7838233160880672,0.8212065161282207
16302,16.3033,0.054274540705495734,0.07741538524436233,0.1143758914040436,0.17865542829382372,0.30516391213380295,0.4131381159997932,0.6764286489793945,0.7498744350251839,0.7837155435163075,0.8211361765889998
16303,16.304299999999998,0.054246936676100484,0.07737552943261773,0.1143152156187365,0.1785533140532939,0.3049723751686299,0.4128834844966609,0.6762165417076501,0.749726788594996,0.7836099703847877,0.8210677381184067
16304,16.3053,0.05421933264670523,0.07733567362087314,0.1142541326133938,0.17845119981276406,0.3047811633935505,0.4126288529935286,0.6760044344359056,0.7495791421648081,0.7835021978130279,0.820997398579186
16305,16.3063,0.05419172861730998,0.07729581780912854,0.11419264238801548,0.17834835618480188,0.30458865085809644,0.41237122582565355,0.6757896758232643,0.7494290753013384,0.7833922258010281,0.8209270590399651
16306,16.307299999999998,0.05416412458791473,0.07725550909043229,0.11413115216263714,0.17824587725055588,0.30439613832264234,0.4121135986577785,0.6755722658697262,0.7492790084378685,0.7832822537890284,0.8208567195007443
16307,16.3083,0.05413652055851948,0.0772156532786877,0.11407006915729442,0.17814339831630988,0.3042039509772819,0.4118589671546462,0.6753575072570849,0.7491289415743988,0.7831744812172685,0.820784478892896
16308,16.3093,0.054108916529124244,0.0771757974669431,0.11400898615195174,0.17804091938206387,0.3040117636319215,0.4116013399867712,0.6751427486444437,0.748978874710929,0.7830645092052688,0.8207141393536751
16309,16.310299999999998,0.05408131249972899,0.0771359416551985,0.1139474959265734,0.17793844044781787,0.3038199014766548,0.41134670848363886,0.6749279900318024,0.7488288078474593,0.782954537193269,0.8206437998144543
16310,16.3113,0.054053708470333736,0.07709608584345391,0.1138864129212307,0.17783596151357184,0.30362803932138804,0.4110890813157638,0.6747105800782643,0.7486787409839896,0.7828445651812693,0.820571559206606
16311,16.3123,0.054026104440938486,0.0770562300317093,0.11382532991588798,0.17773384727304203,0.3034361771661213,0.4108344498126315,0.6744958214656231,0.7485286741205198,0.7827367926095095,0.8205012196673852
16312,16.313299999999998,0.05399900230298679,0.07701637421996471,0.11376424691054528,0.17763173303251223,0.30324464020094827,0.41057682264475653,0.6742810628529818,0.7483786072570502,0.7826268205975098,0.8204308801281643
16313,16.3143,0.05397139827359154,0.07697651840822012,0.11370316390520256,0.1775296187919824,0.30305310323577517,0.4103221911416242,0.6740636528994437,0.7482285403935804,0.78251684858551,0.8203586395203161
16314,16.3153,0.05394379424419629,0.07693666259647552,0.11364248811989547,0.17742750455145256,0.3028615662706021,0.4100675596384919,0.6738488942868024,0.7480760530968288,0.7824068765735103,0.8202882999810952
16315,16.3163,0.05391619021480104,0.07689680678473093,0.11358140511455277,0.17732539031092273,0.3026706796856164,0.40980993247061687,0.6736314843332644,0.747925986233359,0.7822969045615105,0.8202179604418744
16316,16.3173,0.05388908807684935,0.07685695097298634,0.11352032210921005,0.17722364076410907,0.302479467910537,0.40955530096748455,0.6734167257206232,0.7477759193698894,0.7821891319897507,0.8201457198340261
16317,16.3183,0.0538614840474541,0.07681754806819338,0.11345964632390297,0.17712189121729544,0.3022885813255513,0.40930066946435223,0.6731993157670849,0.7476258525064197,0.7820791599777509,0.8200753802948053
16318,16.3193,0.05383388001805885,0.07677769225644879,0.11339856331856026,0.1770201416704818,0.30209801993065927,0.4090460379612199,0.672981905813547,0.7474757856429499,0.7819691879657512,0.8200050407555844
16319,16.3203,0.05380677788010715,0.07673828935165583,0.11333788753325316,0.1769187568173843,0.3019074585357672,0.40879140645808765,0.6727671472009057,0.7473232983461983,0.7818592159537514,0.8199328001477361
16320,16.3213,0.053779173850711896,0.07669843353991124,0.11327721174794608,0.17681700727057065,0.30171689714087513,0.40853677495495533,0.6725497372473676,0.7471732314827286,0.7817492439417517,0.8198624606085153
16321,16.3223,0.0537520717127602,0.07665903063511828,0.11321653596263898,0.17671562241747318,0.30152666093607683,0.408282143451823,0.6723349786347262,0.7470231646192589,0.7816414713699918,0.8197902200006669
16322,16.3233,0.053724467683364946,0.07661917482337369,0.1131558601773319,0.17661423756437572,0.3013364247312784,0.4080275119486907,0.6721175686811881,0.7468706773225073,0.7815314993579922,0.8197198804614462
16323,16.3243,0.053697365545413246,0.07657977191858073,0.1130951843920248,0.17651248801756206,0.30114618852648006,0.40777288044555837,0.6719001587276501,0.7467206104590376,0.7814215273459924,0.8196495409222253
16324,16.3253,0.053669761516017996,0.07653991610683614,0.11303450860671771,0.17641146785818076,0.30095627751177534,0.40751824894242605,0.6716827487741119,0.746570543595568,0.7813115553339927,0.819577300314377
16325,16.3263,0.0536426593780663,0.07650051320204318,0.11297424004144625,0.1763100830050833,0.3007666916871643,0.40726361743929373,0.6714679901614707,0.7464180562988163,0.7812015833219929,0.8195069607751562
